zipcode,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,hasFireplace,taxAssessedValue,rentZestimate,price,parkingCapacity,hasCooling,hasHeating,hasPrivatePool,hasSpa,hasView,log_lotAreaValue,log_livingAreaValue,log_price,log_taxAssessedValue
90012,1,1968,9874.3384,44.686343,0,1.0,1.0,0,131776.0,2238.0,365000,1,1,0,0,0,0,3.9945080066929455,1.6501748147206414,5.562292864456475,5.119836320601919
90044,0,1925,491.085258,57.971472,1,1.0,1.0,0,223395.0,2131.0,355000,0,0,1,0,0,0,2.691156897142501,1.7632143280292336,5.550228353055094,5.34907344856155
91316,1,1967,5661.55714,67.726287,1,1.0,1.0,0,277759.0,2123.0,354900,2,1,1,0,1,1,3.752935894846044,1.830757266664784,5.5501059993475925,5.44366813993338
91402,2,1973,13951.54985,105.352002,3,2.0,2.0,0,173120.0,3149.0,373000,1,1,1,0,1,1,4.1446224552021045,2.022642792903697,5.571708831808688,5.238347243426476
91303,1,1986,5265.774232,57.506957,1,1.0,1.0,0,296675.0,2149.0,360000,1,1,1,0,1,1,3.721462234964033,1.7597203873669276,5.556302500767287,5.472280951037114
90068,0,1958,1781.7889793388429,191.101471,4,3.0,1.0,0,1450171.0,8996.0,375000,3,1,1,0,0,1,3.2508562684240063,2.281264030041533,5.574031267727719,6.161419216012709
91402,1,1978,8504.47629,92.624291,2,2.0,1.0,0,197351.0,2700.0,372000,0,1,1,0,0,1,3.929647574695673,1.9667248966584652,5.570542939881897,5.295239331356726
91356,1,1970,20274.712858126724,106.83845,3,2.0,1.0,0,214009.0,2998.0,355000,0,1,1,0,0,0,4.306954712204321,2.0287275787004213,5.550228353055094,5.330432037686332
91304,1,1976,3223.728676,56.299218,1,1.0,1.0,0,306000.0,2028.0,367500,2,1,1,0,0,1,3.508358482427526,1.7505023625130958,5.565257343420214,5.48572142648158
91303,1,1986,5265.774232,57.506957,1,1.0,1.0,0,273303.0,2149.0,368000,2,1,1,0,0,1,3.721462234964033,1.7597203873669276,5.565847818673518,5.436644398894618
91356,1,1970,20274.712858126724,104.887487,3,2.0,1.0,0,223313.0,2999.0,355000,0,1,1,0,0,0,4.306954712204321,2.0207236802717774,5.550228353055094,5.348914005937214
91356,1,1970,20274.7686,84.634633,2,2.0,1.0,0,175067.0,2400.0,379000,2,1,0,0,0,1,4.306955906221463,1.927548115319808,5.578639209968072,5.2432042896095625
90044,0,1939,262.640868732,81.383028,2,1.0,1.0,0,400609.0,2796.0,400000,1,1,1,0,0,1,2.419362306230916,1.9105338445148905,5.6020599913279625,5.602720701838314
91316,1,1967,5661.55714,67.912093,1,1.0,1.0,0,262140.0,2028.0,385000,1,1,1,0,1,1,3.752935894846044,1.83194711530467,5.585460729508501,5.418533295093212
90057,1,1979,1978.105168,55.927606,1,1.0,1.0,0,357041.0,2034.0,379000,1,1,1,0,0,1,3.2962493775887145,1.747626229604634,5.578639209968072,5.552718090205635
91406,1,1983,2434.712121671258,69.67725,1,1.0,1.0,1,302210.0,2028.0,385000,1,1,1,0,1,1,3.3864476179692544,1.8430910017385096,5.585460729508501,5.48030883085994
90059,0,1964,359.999125,113.806175,2,2.0,1.0,0,274453.0,2995.0,396000,0,0,1,0,0,0,2.556301445189139,2.056165827047361,5.597695185925512,5.438467982344178
90744,0,1953,485.603981,81.197222,2,1.0,1.0,0,51071.0,2600.0,400000,2,0,1,0,0,0,2.6862822384445604,1.909541170981213,5.6020599913279625,4.708174361678332
91356,1,1973,21381.58481,56.206315,1,1.0,1.0,0,157456.0,2062.0,377500,1,1,1,0,1,1,4.330039892113623,1.7497851129992783,5.576916955965207,5.197159214462834
90003,0,1925,376.628762,125.233244,2,1.0,1.0,0,30420.0,2892.0,380000,0,0,0,0,0,0,2.5759134827037995,2.0977196305461105,5.57978359661681,4.48315920971698
91356,1,1973,21381.58481,56.206315,1,1.0,1.0,0,155107.0,2062.0,395000,2,1,1,0,1,1,4.330039892113623,1.7497851129992783,5.596597095626461,5.190631398024908
91304,1,1971,21900.796948000003,83.6127,2,2.0,1.0,0,177385.0,2463.0,395000,1,1,1,0,0,1,4.340459918667579,1.9222722477861345,5.596597095626461,5.248916892312752
90015,1,2006,6943.602388,61.31598,0,1.0,1.0,0,369713.0,2441.0,400000,1,1,1,0,1,1,3.8415848438444784,1.7875736738886785,5.6020599913279625,5.567864721682122
91406,1,1984,1551.9466551882458,67.726287,2,1.0,1.0,1,319556.0,2500.0,385000,1,1,1,0,0,1,3.190876789244629,1.830757266664784,5.585460729508501,5.504546976296805
91304,2,1981,1847.285680440772,124.675826,3,3.0,1.0,1,573240.0,3449.0,385000,2,1,1,0,0,1,3.266534063737441,2.095782254179783,5.585460729508501,5.758336487330979
91316,1,1971,5207.094762,106.745547,3,2.0,1.0,0,340862.0,3195.0,385000,2,1,1,0,1,1,3.716595481312953,2.028349767035095,5.585460729508501,5.532578587881332
91306,1,1971,7656.65912,82.68367,2,1.0,1.0,0,294328.0,2495.0,385300,1,1,1,0,1,1,3.884039312419991,1.9174197449917223,5.585799009013001,5.468831579350923
91367,1,1987,6540.130446000001,56.67083,1,1.0,1.0,1,100597.0,2100.0,382500,2,1,1,0,1,1,3.8155864106198334,1.7533595733575766,5.582631439489637,5.002585029399105
90020,1,1973,4082.877054,52.583098,1,1.0,1.0,0,328828.0,1999.0,385000,1,1,0,0,0,1,3.610966302388515,1.720846169535081,5.585460729508501,5.516968791008374
91304,1,1971,21893.917286,83.6127,2,2.0,1.0,0,289811.0,2463.0,400000,1,1,1,0,1,1,4.340323473011029,1.9222722477861345,5.6020599913279625,5.462114865429973
90731,1,1973,831.853462,55.834703,1,1.0,1.0,0,280914.0,2149.0,398000,1,1,1,0,0,1,2.920046828394236,1.7469042103495491,5.599883072073688,5.448573383812598
91356,1,1973,21381.58481,56.206315,1,1.0,1.0,0,132790.0,2094.0,377000,4,1,1,0,1,1,4.330039892113623,1.7497851129992783,5.576341350205793,5.123165370902919
91601,1,1988,2978.009579889808,61.687592,1,1.0,1.0,1,380629.0,2350.0,405000,1,1,1,0,1,1,3.47392609049023,1.7901978177148272,5.607455023214668,5.580501873967229
90031,1,1925,5868.351686,62.24501,0,1.0,1.0,0,285719.0,2350.0,399000,1,1,1,0,0,1,3.7685161329000136,1.794104541047636,5.600972895686748,5.455939121449558
90011,0,1908,232.2575,109.253928,2,1.0,1.0,1,501472.0,3052.0,395000,0,0,1,0,0,1,2.365969747018847,2.0384370600869293,5.596597095626461,5.700246688931762
90062,3,1912,590.770177,150.50286,2,1.0,1.0,0,495912.0,2866.0,400000,0,0,0,0,0,0,2.771418563330423,2.1775447528894407,5.6020599913279625,5.69540461740732
90057,1,1971,4019.341352,66.425645,1,1.0,1.0,1,48667.0,2250.0,379000,1,1,1,0,0,1,3.604154891236744,1.8223357801478903,5.578639209968072,4.687234575674327
90046,1,1974,8031.398356,71.721116,1,1.0,1.0,0,158389.0,2517.0,390000,1,1,1,0,0,1,3.9047911673736704,1.8556470386825457,5.5910646070265,5.199725016867206
91331,1,1989,19710.636316,81.104319,2,2.0,1.0,0,258797.0,2529.0,380000,2,1,1,0,1,1,4.294700644780043,1.9090439820523797,5.57978359661681,5.412959237641959
90032,0,1927,325.532112,61.31598,2,1.0,1.0,0,182341.0,2650.0,415000,1,0,1,0,0,0,2.512593835842853,1.7875736738886785,5.6180480967120925,5.260884332240986
90011,3,2007,501.6762,121.70293,3,3.0,1.0,0,458537.0,3495.0,415000,0,0,0,0,0,0,2.700423498169778,2.085301034002574,5.6180480967120925,5.661374385256862
90046,1,1964,4973.186254,49.796008,0,1.0,1.0,0,440627.0,2195.0,425500,1,1,1,0,0,1,3.6966347245790376,1.6971945280395797,5.628899564420607,5.644071105596733
91356,1,1978,7878.427048,91.04494,2,2.0,1.0,0,294370.0,2550.0,425000,2,1,1,0,1,1,3.896439517925685,1.9592558140393044,5.628388930050312,5.468893547858615
91601,1,1988,2978.009579889808,59.365017,1,1.0,1.0,1,181129.0,2350.0,420000,2,1,1,0,0,1,3.47392609049023,1.7735305965052095,5.623249290397901,5.257987989417786
90011,0,1907,526.016786,170.569908,4,2.0,1.0,0,146384.0,4062.0,416000,5,0,1,0,0,0,2.7209996033758936,2.231902415212033,5.619093330626742,5.165493610250726
90012,1,2006,6006.349612,90.11591,2,2.0,1.0,1,483786.0,2600.0,410000,1,1,1,0,0,1,3.778610607607118,1.9548014726130545,5.612783856719736,5.6846532964137895
91340,1,1988,8684.56156,78.131423,2,2.0,1.0,0,335745.0,2500.0,415000,0,1,1,0,0,1,3.938747897984149,1.8928257341447217,5.6180480967120925,5.526009553764943
90013,1,1923,4011.652318,61.31598,0,1.0,1.0,0,347971.0,2557.0,425000,1,1,1,0,0,1,3.603323286532541,1.7875736738886785,5.628388930050312,5.541543051231705
91402,2,1979,5397.701868000001,121.70293,3,3.0,2.0,1,237336.0,3200.0,425000,2,1,1,0,0,1,3.732208893436851,2.085301034002574,5.628388930050312,5.37536361860306
91367,1,1987,12627.417258,56.67083,1,1.0,1.0,1,343575.0,2199.0,415000,2,1,1,0,1,1,4.101314531449939,1.7533595733575766,5.6180480967120925,5.536021555167784
90012,1,1899,2677.402576,60.38695,0,1.0,1.0,0,121000.0,2314.0,410000,1,1,1,0,0,1,3.427713676898707,1.7809430949896652,5.612783856719736,5.08278537031645
91405,1,1972,15428.65375,107.860383,2,3.0,1.0,0,345246.0,2888.0,425000,2,1,1,0,0,1,4.188328032709059,2.0328619580853835,5.628388930050312,5.538128655569305
90003,0,1923,483.653018,49.052784,1,1.0,1.0,0,76888.0,1849.0,425000,2,1,1,0,0,1,2.6845339021200263,1.6906636608806218,5.628388930050312,4.885858564242955
91311,1,1986,2157.3963021120294,66.054033,1,1.0,1.0,0,326400.0,2099.0,420000,2,1,1,0,1,1,3.3339299299942677,1.819899339076576,5.623249290397901,5.513750150081823
90014,1,1911,1479.5751230486685,58.52889,0,1.0,1.0,0,146000.0,2394.0,425000,0,1,1,0,0,1,3.170137020660716,1.7673702878003914,5.628388930050312,5.164352855784437
90057,1,1979,1978.105168,66.425645,1,1.0,1.0,0,332420.0,2199.0,410000,1,1,1,0,0,1,3.2962493775887145,1.8223357801478903,5.612783856719736,5.521687145161232
